,commit_id,tcmt,bugcount,fixcount,author_date,la,ld,ent,churn,nf,nd,ns,nuc,ndev,age,aexp,arexp,asexp
0,298468682da7941dcbb3d3acd77b8c9b0d7d10eb,0,0,0,1393226753,1,3,0.0,4,1,1,1,1,2,391.0,335,327.0,1221
1,e9489cc6f97ca74ea7fd55fff7e2f322e54142b6,0,0,0,1393228130,47,133,0.48890859144051524,180,3,3,3,9,53,30030.666666666668,188,188.0,758
2,e05bfa9ba8254683a30c133333c69aad02b3c856,0,0,0,1393232236,2,1,0.0,3,1,1,1,1,6,57742.0,335,327.0,1221
3,beaa161dc486fa56b95a946e36e3e4b1b31ec7a4,0,0,0,1392981961,3,383,0.9182958340544896,386,7,7,5,1,53,48755.71428571428,200,200.0,1002
4,129bf3d4722477f12b1e8b175baa91daef8180fb,0,0,0,1392998916,0,53,0.0,53,14,2,1,0,0,72516.0,200,200.0,866
5,5d34e8b3975c13fe99401544200384e9f24cd78b,0,0,0,1392998948,1,1,0.0,2,1,1,1,0,0,72548.0,200,200.0,81
6,6b576f966db0f0daf322fc376e808aaccad2d520,0,0,0,1393233537,37,28,0.0,65,1,1,1,3,5,9788.0,617,325.0,3585
7,d46db7e0470075125e8c8a24a283ee66dc16b13d,0,0,0,1393101043,288,193,1.7565061302331415,481,9,8,3,2,53,48469.555555555555,188,188.0,758
8,ab5fce8cc7d2a0efad2b99305ec3cc5059c141f4,0,0,0,1393121515,185,124,0.8023720463635056,309,10,5,4,3,53,42215.3,188,188.0,761
9,c3e4520bd9c3cc4aa84e273b52c65dce0619fe10,0,0,0,1393235225,96,119,0.6988907082399578,215,6,5,3,11,53,8340.166666666666,188,188.0,758
10,732a0d4abebce7aa3c68f4a900f9469422c622bd,0,0,0,1393152850,78,13,3.7436200457596907,91,15,3,2,1,7,66608.4,200,200.0,947
11,5c5b382db72bbf9faea1a8184277651b04efb04a,0,0,0,1393296750,294,2549,2.4042559449119225,2843,23,5,3,14,53,63792.17391304348,892,357.0,4778
